transaction_date,narration,transaction_amount,balance,transaction_type
30/01/2017,NEFT/INTERSWITCHNG/Goodsandservices30012,6352.0,3207247.88,CREDIT
30/01/2017,NEFT/INTERSWITCHNG/Goodsandservices28012,7294.88,3214542.76,CREDIT
30/01/2017,NEFT/INTERSWITCHNG/Goodsandservices29012,8138.5,3222681.26,CREDIT
30/01/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 30Jan,14986.75,3237668.01,CREDIT
30/01/2017,2612927/ CD RUTH BABA,515000.0,3752668.01,CREDIT
30/01/2017,Interbank + VAT Charge,420.0,3752248.01,DEBIT
30/01/2017,January//NEFT TRF TO IBRAHIMBAKO,1000000.0,2752248.01,DEBIT
31/01/2017,Zenith POS Settlement for 31/01/2017,9800.0,2762048.01,CREDIT
31/01/2017,NEFT/INTERSWITCHNG/Goodsandservices31012,11463.38,2773511.39,CREDIT
31/01/2017,Zenith POS Settlement Comm for31/01/2017,122.51,2773388.88,CREDIT
31/01/2017,STAMP DUTY CHARGE,1950.0,2771438.88,DEBIT
31/01/2017,Acct Maint. Fee + VAT,4812.04,2766626.84,DEBIT
10/02/2017,SMS Notification Charge Jan 2017,132.0,2766494.84,DEBIT
01/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 31Jan,595.5,2767090.34,CREDIT
01/02/2017,Zenith POS Settlement for 01/02/2017,650.0,2767740.34,CREDIT
01/02/2017,DP3011925/ISHAKU PIUS,1060.0,2768800.34,CREDIT
01/02/2017,NEFT/INTERSWITCHNG/Goodsandservices01022,1836.13,2770636.47,CREDIT
01/02/2017,Zenith POS Settlement Comm for01/02/2017,8.13,2770628.34,CREDIT
02/02/2017,Zenith POS Settlement for 02/02/2017,4600.0,2777114.09,CREDIT
02/02/2017,NEFT/INTERSWITCHNG/Goodsandservices02022,12654.39,2789768.48,CREDIT
02/02/2017,Zenith POS Settlement Comm for02/02/2017,57.51,2789710.97,DEBIT
03/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 03Feb,397.0,2790107.97,CREDIT
03/02/2017,Zenith POS Settlement for 03/02/2017,1450.0,2791557.97,CREDIT
03/02/2017,NEFT/INTERSWITCHNG/Goodsandservices03022,32504.38,2824062.35,CREDIT
03/02/2017,CD/MUHAMMED 2964252,177000.0,3001062.35,CREDIT
03/02/2017,Zenith POS Settlement Comm for03/02/2017,18.13,3001044.22,DEBIT
03/02/2017,Interbank + VAT Charge,105.0,3000939.22,DEBIT
03/02/2017,new nylon//NEFT TRF TOVIVO&TECH INDUSTRIES LIMITED,489500.0,2511439.22,DEBIT
06/02/2017,NEFT/INTERSWITCHNG/Goodsandservices04022,6600.14,2518039.36,CREDIT
06/02/2017,NEFT/INTERSWITCHNG/Goodsandservices06022,11264.88,2529304.24,CREDIT
06/02/2017,Zenith POS Settlement for 06/02/2017,15600.0,2544904.24,CREDIT
06/02/2017,NEFT/INTERSWITCHNG/Goodsandservices05022,19601.88,2564506.12,CREDIT
06/02/2017,DS1716433/DEP/ERUTH BABA,500000.0,3064506.12,CREDIT
06/02/2017,Interbank + VAT Charge,105.0,3064401.12,DEBIT
06/02/2017,Zenith POS Settlement Comm for06/02/2017,195.02,3064206.1,DEBIT
06/02/2017,last//NEFT TRF TO IBRAHIM  BAKO,603000.0,2461206.1,DEBIT
07/02/2017,NEFT/INTERSWITCHNG/Goodsandservices07022,11463.39,2472669.49,CREDIT
07/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 06Feb,17716.12,2490385.61,CREDIT
08/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 07Feb,496.25,2490881.86,CREDIT
08/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 08Feb,744.38,2491626.24,CREDIT
08/02/2017,Zenith POS Settlement for 08/02/2017,2500.0,2494126.24,CREDIT
08/02/2017,NEFT/INTERSWITCHNG/Goodsandservices08022,6550.51,2500676.75,CREDIT
09/02/2017,NEFT/INTERSWITCHNG/Goodsandservices09022,1836.13,2502481.63,CREDIT
09/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 09Feb,4317.38,2506799.01,CREDIT
09/02/2017,Zenith POS Settlement for 09/02/2017,16250.0,2523049.01,CREDIT
09/02/2017,CD/2956091/ATTAH SK,218000.0,2741049.01,CREDIT
09/02/2017,Zenith POS Settlement Comm for09/02/2017,203.14,2740845.87,CREDIT
10/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 10Feb,347.38,2741193.25,CREDIT
10/02/2017,Zenith POS Settlement for 10/02/2017,6450.0,2747643.25,CREDIT
10/02/2017,NEFT/INTERSWITCHNG/Goodsandservices10022,7096.38,2754739.63,CREDIT
10/02/2017,Zenith POS Settlement Comm for10/02/2017,80.63,2754659.0,DEBIT
13/02/2017,NEFT/INTERSWITCHNG/Goodsandservices13022,3176.0,2757835.0,CREDIT
13/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 13Feb,5607.62,2763442.62,CREDIT
13/02/2017,Zenith POS Settlement for 13/02/2017,7300.0,2770742.62,CREDIT
13/02/2017,NEFT/INTERSWITCHNG/Goodsandservices11022,9180.63,2779923.25,CREDIT
13/02/2017,NEFT/INTERSWITCHNG/Goodsandservices12022,15086.0,2795009.25,CREDIT
13/02/2017,CSHD EP1763114/ PIUS ISHAKU,651600.0,3446609.25,CREDIT
13/02/2017,Zenith POS Settlement Comm for13/02/2017,91.26,3446517.99,DEBIT
13/02/2017,Interbank + VAT Charge,105.0,3446412.99,DEBIT
13/02/2017,mix//NEFT TRF TO NUTRICHEMPROCUREMENT NIG LTD,480000.0,2966412.99,DEBIT
14/02/2017,NEFT/INTERSWITCHNG/Goodsandservices14022,3225.64,2969638.63,CREDIT
14/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 14Feb,4069.25,2973707.88,CREDIT
14/02/2017,Zenith POS Settlement for 14/02/2017,12150.0,2985857.88,CREDIT
14/02/2017,Zenith POS Settlement Comm for14/02/2017,151.88,2985706.0,DEBIT
15/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 15Feb,2779.0,2988485.0,CREDIT
15/02/2017,NEFT/INTERSWITCHNG/Goodsandservices15022,62329.0,3060664.0,CREDIT
15/02/2017,cd pius ishaku/ds 3256550,450000.0,3510664.0,CREDIT
15/02/2017,Zenith POS Settlement Comm for15/02/2017,123.13,3510540.87,DEBIT
16/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 16Feb,5508.38,3516049.25,CREDIT
16/02/2017,Zenith POS Settlement for 16/02/2017,7000.0,3523049.25,CREDIT
